forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
1,53.44285714285714,45.5,-3465.396585518973,-3204.46923828125,20,76.25,1685.1549845837615,1.0166351486390741,0.7960418101223442,6.232042175491586e-7,140,58
3,58.596774193548384,51.5,-3900.8590642457366,-3790.09423828125,28,85.75,1467.2365300784656,0.7135547079629232,-0.1330794672262884,4.6198231122995926e-7,186,58
2,68.34262701363073,71.5,-3833.606082202481,-3572.65185546875,41.25,95,1236.897413057323,-0.08382309062460551,-0.7055984785487512,3.044228408101289e-17,1614,59
3,71.08928571428571,71.5,-4088.3329579878828,-3839.6060791015625,39.75,103,1540.6441815856776,-8.831983511727687e-4,-0.9021950944906827,1.3210906034598274e-5,392,59
1,83.5625,85.5,-3751.1355295817057,-3564.6773681640625,71,101,900.3243219749652,-0.44811161207739475,1.0959888343506343,1.592677058463929e-22,720,59
1,49.329787234042556,44,-4021.1383654005986,-3696.8421630859375,24,71.75,1079.3416838252117,0.7265236881543014,0.20816129237605385,0.011493647611210793,94,60
3,68.50588235294117,66,-4423.3963809742645,-4196.13134765625,41,90,1167.9196078431373,0.5919693545912449,0.3905623997720822,0.18333253916519415,85,60
2,71.46835443037975,65,-4001.3018242558346,-3773.802978515625,54.5,97.5,1015.8675754625121,-0.07241165737186968,-0.4989817982347724,0.1725140529699682,79,60
2,52.07901234567901,51,-3619.027109555845,-3469.811767578125,25,78,1034.231365358758,0.2055417212004196,-0.9300803383406244,1.3913903433565826e-11,405,61
3,58.12891986062718,57,-3629.7055549222832,-3421.5830078125,29,85,1220.6301747033453,0.16780405064176854,-0.7579880996492343,5.527919146158403e-4,287,61
1,43.40191387559808,31,-3441.7744888232655,-3291.663818359375,14,69,1329.8088424733162,0.8411907026539157,-0.2446134533358607,3.980699623413203e-16,209,61
1,111.80627306273063,119,-4124.4690833285285,-4074.7796630859375,89,141.75,2029.254452258016,-0.5491645003784212,0.05158340039700109,1.3606991723190895e-16,542,62
3,117.17436974789916,121,-4184.369060356076,-4165.215576171875,95,144,2134.110583812472,-0.3931089220965649,0.3609003301912853,1.2638725279024002e-10,476,62
2,99.77777777777777,105,-4141.649246285495,-4117.0380859375,62,137,2724.889566395664,-0.10653412548618095,-0.5596717331540861,1.4480084634379404e-10,657,62
2,78.6286799620133,83,-3536.8078742538987,-3204.595458984375,34,118,2487.410469453562,0.06623722237888104,-0.9592885338128327,3.7e-24,1053,63
3,86.73200757575758,91,-3475.2777765447445,-3217.7022705078125,40,128,2670.5413821269567,0.006924398400718723,-1.0521898273862584,3.7e-24,1056,63
1,99.59064539521393,108,-3496.749350566463,-3253.974365234375,55,139,2863.2886610994547,-0.16847156059894197,-0.8352559654456589,3.7e-24,2758,63
1,82.87647360328037,86,-3330.8439783734702,-3122.956298828125,40,123,2467.48781032738,0.0696563823739804,-0.8319751130881611,3.7e-24,1951,64
3,66.037111334002,65,-3089.295374159588,-2958.051025390625,23,103,2092.3691032938173,0.3124035189613646,-0.8037772513086976,3.7e-24,997,64
2,47.884927066450565,37,-3038.8755405123075,-2890.671630859375,12,79,1694.9234250352565,0.7527598393263739,-0.46524205675399977,3.7e-24,617,64
1,98.67478632478633,106,-4750.5785076434795,-4456.71630859375,75,129,1614.698380672579,-0.6312116211504808,-0.32492883653254406,3.7e-24,2340,65
3,84.67053264604812,94,-4937.773517674187,-4594.81982421875,52,118,1787.3039529606872,-0.4108380846382595,-0.8915261862345083,3.7e-24,2328,65
2,80.8197820620285,91,-5923.54066317639,-6098.3759765625,42,117,1919.4093793823388,-0.3461837073619153,-1.0995274030532096,3.7e-24,3579,65
2,60.02589787441974,55,-5646.9443163728465,-5525.05419921875,23,95,1710.2613037207507,0.28700421310036955,-1.0971344341022782,3.7e-24,4093,66
3,74.79723103547735,77,-5539.660306945396,-5500.6220703125,41,108,1657.189397985557,-0.07210831930365885,-1.001549186033585,3.7e-24,3467,66
1,93.53635919960956,100,-5561.725348767215,-5547.23193359375,67,124,1586.6316119334126,-0.5006324746687383,-0.53709669618894,3.7e-24,2049,66
2,32.135416666666664,22,-4172.036008083459,-3939.791015625,8,48,916.0224032385466,1.2151173697618485,0.9986979071120702,3.7e-24,1056,67
3,41.79030439684329,34,-3858.6116387368324,-3522.0556640625,12,66.5,1135.6060909907594,0.6660618394246967,-0.5423401184468691,3.7e-24,887,67
1,55.97035040431267,57,-3791.7813161351287,-3537.2064208984375,29,82,1065.059848460047,-0.012540408462992708,-0.9628899624228451,7.531272654788056e-14,742,67
1,52.25925925925926,55.5,-3337.131453902633,-3407.03173828125,34.5,72,742.9975770162686,-0.27418868262100965,-0.8515372185443931,0.0014676304835901874,108,68
3,62.583333333333336,62.5,-3146.1530253092446,-2923.74365234375,54.75,76.25,365.85,-0.6308456138798237,0.45952078018664605,0.11182189258869926,36,68
2,50.27272727272727,51,-2847.156882546165,-2604.969482421875,43,56.5,211.61818181818182,-0.14533769819309383,0.17231744265056026,0.6789587152879772,11,68
